type,id,author,mid,typeid,typename,arcurl,aid,bvid,title,description,arcrank,pic,play,video_review,favorites,tag,review,pubdate,senddate,duration,badgepay,hit_columns,view_type,is_pay,is_union_video,rec_tags,new_rec_tags,rank_score,like,upic,corner,cover,desc,url,rec_reason,danmaku,biz_data,is_charge_video,vt,enable_vt,vt_display,subtitle,episode_count_text,release_status,is_intervene
video,1150615133,慕言and发糕,1616223546,124,社科·法律·心理,http://www.bilibili.com/video/av1150615133,1150615133,BV1DZ42127Qz,"科比是如何实现从全网黑到口碑逆转？这一切要全靠<em class=""keyword"">梅西</em>的衬托",-,0,//i0.hdslb.com/bfs/archive/d3ce19d0280dc060f6bce5926333cd78ea1ae488.jpg,1028340,1957,5875,"梅西,科比,逆转,口碑,全网,社会洞察计划,请回答这个时代",2987,1707903192,1707971384,2:43,False,"['title', 'tag']",,0,0,,[],100437260,45957,https://i0.hdslb.com/bfs/face/bda1193eab90eaf00f2c35351e968429b5a22487.jpg,,,,,,1957,,0,0,0,,,,0,0
video,827453964,少川看世界,404131498,249,足球,http://www.bilibili.com/video/av827453964,827453964,BV1sg4y1K7wJ,"你能相信吗？球王<em class=""keyword"">梅西</em>在中国，监控最后拍摄到的画面泄露，身价25亿的世界第一人，吃了掉在地上的食物",球王梅西在中国，监控最后拍摄到的画面泄露，他吃了掉地上的食物,0,//i0.hdslb.com/bfs/archive/3b0ef9cb9b830a57a2705de21e1b3aab09eb5348.jpg,927293,839,1712,"梅西,世界杯,世界第一,阿根廷,巴萨",1190,1686981599,1687094028,2:53,False,"['title', 'description', 'tag']",,0,0,,[],100427289,17713,https://i1.hdslb.com/bfs/face/0a1789d205793430728bdc3d91799b60f2c34682.jpg,,,,,,839,,0,0,0,,,,0,0
video,776588328,4A广告提案网,43707221,138,搞笑,http://www.bilibili.com/video/av776588328,776588328,BV1f14y1A75y,"同时遇到科比和<em class=""keyword"">梅西</em>，你会先找谁签名？",当你在飞机上同时遇到科比和梅西，你会先选择找谁签名？,0,//i0.hdslb.com/bfs/archive/1cfc86db6b7b59eda2dc81a9cc9c17bef8a9c822.png,1032799,2164,8918,"科比,梅西,签名,广告,创意,创意广告,土耳其航空,高能",4609,1671768006,1707357844,1:1,False,"['title', 'description', 'tag']",,0,0,,[],100399462,33272,https://i2.hdslb.com/bfs/face/db00c1733a7c3e90eb605232e33baafee237dbcb.jpg,,,,,,2164,,0,0,0,,,,0,0
video,1200700492,桦辰语,421083864,249,足球,http://www.bilibili.com/video/av1200700492,1200700492,BV1xF4m177aB,"<em class=""keyword"">梅西</em>ins账号更新一组家庭生活照，评论区网友现状 <em class=""keyword"">梅西</em>风波后香港贺岁杯重启",ins,0,//i1.hdslb.com/bfs/archive/3908e04547161371eb8541029271561a83023d6b.jpg,300468,234,305,"足球,梅西,世界杯,阿根廷,C罗,欧冠,巴萨,评分,西甲,迈阿密国际",951,1707645015,1707884894,2:5,False,"['title', 'tag']",,0,0,,[],100393941,6806,https://i0.hdslb.com/bfs/face/2f8c1f28fe0cb5ab8b4cd5d81251df0a5134ca82.jpg,,,,,,234,,0,0,0,,,,0,0
video,1450752405,小白兔怕脏,45531556,249,足球,http://www.bilibili.com/video/av1450752405,1450752405,BV1av421k7GE,"献给依然热爱<em class=""keyword"">梅西</em>的你，有幸与你一起逆风而行！","对于小黑子们，我没有大家那么善良，不会耐心地和他们讲道理，不值得浪费我的时间。我只会鼓励他们坚持自己的想法并付诸行动，一定会有好结果的。
当然，也请尽情地骂我，能给我带来热度和流量，当然是欢迎的！
我不在乎那些说日语的朋友，我只在乎依然关注我的朋友，给大家带来好的作品，才不负你们的厚爱。
献给依然热爱梅西的你，有幸与你一起逆风而行~！",0,//i1.hdslb.com/bfs/archive/9045506766743e2015ff305ec76e660e06a2750c.jpg,391788,7934,5226,"足球,香港,梅西,世界杯,阿根廷,巴塞罗那,足球的魅力,美洲杯,迈阿密国际",10258,1708394400,1708408464,4:31,False,"['title', 'description', 'tag']",,0,0,,[],100379088,16671,https://i1.hdslb.com/bfs/face/4657880b07722019be8285b9122f63f417d981e9.jpg,,,,,,7934,,0,0,0,,,,0,0
video,1750526423,糖叔不说剧,412798219,228,人文历史,http://www.bilibili.com/video/av1750526423,1750526423,BV1L4421w7kp,"为了掩盖731的热度，<em class=""keyword"">梅西</em>都下场了，选骨气还是选明星？",个人观点，仅供参考！,0,//i2.hdslb.com/bfs/archive/1bd00d43ec74949bbe1c9f584316816b8607c8a0.jpg,1140755,5620,23870,"历史,足球,战争,梅西,美国,哈尔滨,骨气,731部队,舆论,哔哩哔哩新春季,2024一起来唠嗑",4012,1708071789,1708117289,8:34,False,"['title', 'tag']",,0,0,,[],100366334,161400,https://i1.hdslb.com/bfs/face/7ac5dfb868d0295f8a5693f142c95ccccd15da03.jpg,,,,,,5620,,0,0,0,,,,0,0
video,1300788670,阿泰希特,385288,249,足球,http://www.bilibili.com/video/av1300788670,1300788670,BV1Xu4m1w7fU,"C罗大笑！回应<em class=""keyword"">梅西</em>道歉！真性情获央视力挺，谁是球王一目了然",C罗大笑！回应梅西道歉！真性情获央视力挺，谁是球王一目了然,0,//i0.hdslb.com/bfs/archive/a70f7f742c9473968422a0bab41c0cabfad3c70b.jpg,103446,30,65,"梅西,C罗,迈阿密国际",146,1708396996,1708396996,1:50,False,"['title', 'description', 'tag']",,0,0,,[],100363291,1791,http://i2.hdslb.com/bfs/face/a40bf2b92c442d3414e426d6a5f43134d498ee85.jpg,,,,,,30,,0,0,0,,,,0,0
video,504530662,小布boooooooooo7,518610078,249,足球,http://www.bilibili.com/video/av504530662,504530662,BV12g411773i,"<em class=""keyword"">梅西</em>——改变世界的20大进球","恭喜里奥梅西获得第七次金球奖！
视频选出了我心目中梅西的最佳20个进球，排名不分先后
1次梦碎世界杯决赛，3次折戟美洲杯决赛，欧冠赛场连续5年经历逆转/大比分淘汰，正处于生涯最低谷的梅西，2021年终于圆梦美洲杯，绝境封王！
以此片献给梅西21年的巴萨生涯
------------------------------------------------------
BGM1：Underground Lindsey Stirling
BGM2：Infraction Alioth",0,//i0.hdslb.com/bfs/archive/b7fe054f0ab385a564f6600c16c59ab434f405d5.jpg,4353861,20241,96750,"巴萨,Football Lives Here,世界杯,奥运全记忆,足球,4K,梅西,阿根廷,美洲杯,这就是足球",5582,1627656600,1675133061,10:2,False,"['title', 'description', 'tag']",,0,0,,[],100357573,189055,https://i0.hdslb.com/bfs/face/f6bbed266511b51b92b4b37cc3dc01eacd676136.jpg,,,,,,20241,,0,0,0,,,,0,0
video,1150488401,戏京同志,289189019,124,社科·法律·心理,http://www.bilibili.com/video/av1150488401,1150488401,BV1AZ421S7mE,"<em class=""keyword"">梅西</em>背后的惊天博弈与阿根廷全盘西化",为什么把职业生涯最后一站定在美国？有梅西的美洲杯和没有梅西的美洲杯是两码事。梅西不缺钱，不缺容易，纳投名状找靠山才是大事，今年打完美洲杯后梅西是不是快要退役了？退役后定居哪里？你们猜猜是美国还是阿根廷？联想一下就知道了,0,//i2.hdslb.com/bfs/archive/12cd89b1dd341fd642ccb37fb84eaa2a65d470e9.jpg,2056357,11321,19020,"梅西,美国,阿根廷,米莱,人文社科,请回答这个时代",8830,1707387248,1707390089,9:57,False,"['title', 'description', 'tag']",,0,0,,[],100347980,148734,https://i2.hdslb.com/bfs/face/10096c7498469b3e5b1c8524ab9d4ef7ed26dd35.jpg,,,,,,11321,,0,0,0,,,,0,0
video,1650407292,小舜xiaoshun,190293750,249,足球,http://www.bilibili.com/video/av1650407292,1650407292,BV1d7421N78N,"中国香港文旅局局长：“我曾经3次联系要求<em class=""keyword"">梅西</em>必须上场！”",zhiboba,0,//i2.hdslb.com/bfs/archive/ec5850ee03afc7871a868ef2df4a6ed023f2fee2.jpg,187629,34,401,"足球,香港,梅西",1411,1707148047,1707148047,1:20,False,"['title', 'tag']",,0,0,,[],100344741,6145,https://i0.hdslb.com/bfs/face/0ff6ec16ec9d7b56cb7ac88f0a6b463b3fd7fe75.jpg,,,,,,34,,0,0,0,,,,0,0
